"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"598",598,598,598,1,20,57,14,3391939.38783094
"599",599,599,599,1,12,46,11,1899399.41229114
"600",600,600,600,2,4,142,33,10506207.5766323
"601",601,601,601,2,11,14,4,667.180281283335
"602",602,602,602,1,20,6,2,541.252180233337
"603",603,603,603,1,7,95,22,6706242.84369089
"604",604,604,604,2,25,78,18,5049526.28042047
"605",605,605,605,2,4,45,11,1648556.43076521
"606",606,606,606,2,8,42,10,903306.232067569
"607",607,607,607,1,30,129,30,10272620.1086863
"608",608,608,608,1,8,69,16,4421070.24642469
"609",609,609,609,2,3,4,1,2.09448522721638e-19
"610",610,610,610,2,16,123,29,8902974.35939199
"611",611,611,611,1,3,127,29,9692187.56561342
"612",612,612,612,1,30,92,21,5832703.89363239
"613",613,613,613,1,9,66,16,4363804.02817406
"614",614,614,614,2,30,107,25,8154514.34356541
"615",615,615,615,2,17,62,15,3914761.32291967
"616",616,616,616,1,9,96,22,6934425.79323139
"617",617,617,617,2,8,116,27,7501503.19593673
"618",618,618,618,1,7,51,12,2899221.3443504
"619",619,619,619,1,8,52,12,3220939.05628123
"620",620,620,620,2,25,134,31,8776137.20187538
"621",621,621,621,1,3,16,4,215223.200599097
"622",622,622,622,2,29,37,9,830340.762036142
"623",623,623,623,2,30,79,19,5477237.05032833
"624",624,624,624,2,6,15,4,7111.28473370228
"625",625,625,625,2,23,3,1,1.49130676233628e-20
"626",626,626,626,1,13,64,15,3964381.57596773
"627",627,627,627,1,8,137,32,8936776.25255406
"628",628,628,628,1,17,43,10,1725922.51381826
"629",629,629,629,1,21,67,16,3612884.29340803
"630",630,630,630,1,6,90,21,5345137.55289204
"631",631,631,631,2,19,149,34,12559401.1815778
"632",632,632,632,1,25,97,23,6107075.62988986
"633",633,633,633,1,12,90,21,5017808.534929
"634",634,634,634,1,25,53,13,2303192.34890573
"635",635,635,635,2,16,108,25,7461756.59521431
"636",636,636,636,2,30,16,4,13696.2363274998
"637",637,637,637,2,6,58,14,2390700.24241505
"638",638,638,638,1,17,98,23,7067669.63189648
"639",639,639,639,1,2,139,32,11308551.7372342
"640",640,640,640,2,28,135,31,10523751.4191992
"641",641,641,641,2,21,104,24,7391710.23514147
"642",642,642,642,2,2,19,5,36769.6006992426
"643",643,643,643,2,25,32,8,567486.139442119
"644",644,644,644,2,12,59,14,3033057.24009357
"645",645,645,645,1,6,3,1,2.71730190737511
"646",646,646,646,2,30,75,18,4897560.48698448
"647",647,647,647,1,29,45,11,2152036.19034613
"648",648,648,648,2,15,67,16,3989404.23661166
"649",649,649,649,1,18,14,4,138578.315650308
"650",650,650,650,1,4,69,16,3379944.69588001
"651",651,651,651,1,30,51,12,2363023.90427557
"652",652,652,652,1,27,19,5,264057.53564149
"653",653,653,653,2,18,15,4,269.41364966333
"654",654,654,654,2,4,43,10,921381.532460668
"655",655,655,655,2,29,118,27,8315667.98747854
"656",656,656,656,1,6,34,8,1064685.60705999
"657",657,657,657,1,9,46,11,2672189.66211361
"658",658,658,658,1,18,68,16,4611056.77835752
"659",659,659,659,2,6,53,13,3107019.46464882
