"","algorithm","replicate","instance","group","result"
"1026",1,21,4,1,4.95114642722064
"1027",2,24,61,14,2699994.79080672
"1028",1,14,142,33,11264746.7841321
"1029",1,28,61,14,3848783.46201712
"1030",1,27,150,35,11322688.4483492
"1031",2,18,119,28,9096625.93874974
"1032",2,14,123,29,7349623.80148039
"1033",1,26,102,24,7804887.0052369
"1034",1,9,117,27,9000275.86460132
"1035",1,1,19,5,171701.631883217
"1036",1,29,125,29,9121851.1899015
"1037",1,8,81,19,5186024.31620957
"1038",2,15,59,14,3658388.24437796
"1039",1,2,95,22,6737320.28200723
"1040",2,14,37,9,363925.514345916
"1041",2,20,130,30,10026403.3562639
"1042",1,8,88,21,5849534.69881705
"1043",1,28,41,10,2238106.21759244
"1044",2,20,57,14,1390265.57487512
"1045",1,3,22,6,367064.699470334
"1046",1,24,146,34,11361987.6423583
"1047",2,30,12,3,51.5622392139935
"1048",1,21,72,17,4424448.20068729
"1049",1,6,78,18,3881997.8895761
"1050",1,22,64,15,4101136.0934126
"1051",2,29,113,26,8469465.18871354
"1052",1,6,89,21,5704128.35062718
"1053",1,9,106,25,7707180.54145999
"1054",1,22,80,19,3831546.71872024
"1055",1,18,128,30,10336177.7358166
"1056",1,22,76,18,3831723.76044365
"1057",1,24,54,13,2915294.56191533
"1058",2,2,101,24,6439351.07133415
"1059",1,1,52,12,3173860.64902964
"1060",2,12,41,10,847185.40717954
"1061",2,28,122,28,9475497.27645317
"1062",2,21,144,33,9936104.49569714
"1063",1,7,129,30,9375796.48263564
"1064",2,24,86,20,5647881.35652004
