"","X.1","X","algorithm","replicate","instance","group","result"
"1699",1699,19,1,1,78,19,3771117.80384744
"1700",1700,20,1,1,82,20,5363644.19023405
"1701",1701,21,1,1,86,21,6537129.52240566
"1702",1702,22,1,1,90,22,5546438.15571193
"1703",1703,23,1,1,94,23,5737851.83541317
"1704",1704,24,1,1,98,24,6880526.61611731
"1705",1705,25,1,1,102,25,7072955.11801181
"1706",1706,26,1,1,106,26,7391542.55691702
"1707",1707,27,1,1,110,27,7836785.77328338
"1708",1708,28,1,1,114,28,8791570.97835827
"1709",1709,29,1,1,118,29,6322853.00398952
"1710",1710,30,1,1,122,30,9608422.9014555
"1711",1711,31,1,1,126,31,8905293.70073134
"1712",1712,32,1,1,130,32,10240826.369163
"1713",1713,33,1,1,134,33,9510228.44672437
"1714",1714,34,1,1,138,34,10145613.2980659
"1715",1715,35,1,1,142,35,9943156.86711271
"1716",1716,1,2,1,6,1,0.00482516087942999
"1717",1717,2,2,1,10,2,8.00759785797247
"1718",1718,3,2,1,14,3,730.629334219123
"1719",1719,4,2,1,18,4,19931.4679229125
"1720",1720,5,2,1,22,5,20380.2304171051
"1721",1721,6,2,1,26,6,77958.3489551209
"1722",1722,7,2,1,30,7,384410.198664222
"1723",1723,8,2,1,34,8,782965.909380202
"1724",1724,9,2,1,38,9,746435.049885743
"1725",1725,10,2,1,42,10,484773.124146728
"1726",1726,11,2,1,46,11,1263960.91057171
"1727",1727,12,2,1,50,12,1309374.86895096
"1728",1728,13,2,1,54,13,1497821.91330269
"1729",1729,14,2,1,58,14,3764493.77479113
"1730",1730,15,2,1,62,15,3888775.64489841
"1731",1731,16,2,1,66,16,4865822.36256362
"1732",1732,17,2,1,70,17,4086941.84211377
"1733",1733,18,2,1,74,18,4229798.37843969
"1734",1734,19,2,1,78,19,5240597.60260195
"1735",1735,20,2,1,82,20,5901975.94870452
"1736",1736,21,2,1,86,21,5082375.03531284
"1737",1737,22,2,1,90,22,5367483.15266661
"1738",1738,23,2,1,94,23,6407205.01011269
"1739",1739,24,2,1,98,24,7038300.00575715
"1740",1740,25,2,1,102,25,7490053.42206262
"1741",1741,26,2,1,106,26,5718695.39631528
"1742",1742,27,2,1,110,27,7906679.48090025
"1743",1743,28,2,1,114,28,7077728.56407632
"1744",1744,29,2,1,118,29,7135556.87437248
"1745",1745,30,2,1,122,30,8157589.91850471
"1746",1746,31,2,1,126,31,8435273.59846407
"1747",1747,32,2,1,130,32,10256684.4133958
"1748",1748,33,2,1,134,33,10548143.0123946
"1749",1749,34,2,1,138,34,11118543.9282918
"1750",1750,35,2,1,142,35,11151579.3942739
